Store,Date,Dept,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Weekly_Sales
4,91010,20,73,2,126,7,1,7925
2,81211,2,91,3,215,7,0,66849
4,111910,45,48,2,126,7,0,10
4,71511,59,83,3,129,5,0,497
3,111811,36,63,3,221,7,0,682
5,62212,72,80,3,222,5,0,10475
2,72911,14,90,3,215,7,0,15194
4,62510,9,81,2,126,7,0,30242
5,72211,72,86,3,215,6,0,8488
4,71312,90,76,3,130,4,0,91642
3,90911,25,81,3,219,7,1,4329
1,80610,98,87,2,211,7,0,10210
5,52711,13,80,3,216,6,0,11484
6,61711,46,87,3,216,6,0,33962
1,72012,60,80,3,221,6,0,675
1,92410,6,80,2,211,7,0,4601
6,102210,19,70,2,213,7,0,2616
3,40910,82,68,2,213,7,0,5007
6,72012,80,81,3,223,5,0,14684
2,101212,71,60,3,223,6,0,3294
1,111811,13,62,3,218,7,0,37077
1,100512,7,68,3,223,6,0,22071
6,41312,54,71,3,223,5,0,57
1,102210,67,69,2,211,7,0,6157
2,100110,83,69,2,211,8,0,4489
6,70210,55,80,2,212,6,0,22506
6,80610,47,86,2,213,6,0,40
5,42211,5,74,3,216,6,0,6399
5,71610,41,83,2,211,6,0,237
2,31811,29,62,3,214,8,0,6060
2,12712,28,50,3,219,7,0,900
5,60812,90,81,3,222,5,0,3258
6,70210,24,80,2,212,6,0,6303
4,42211,25,68,3,128,5,0,19830
2,51410,87,73,2,210,8,0,21911
5,72712,74,85,3,222,5,0,3151
5,120911,6,44,3,219,6,0,722
2,22412,74,54,3,220,7,0,20266
1,102910,82,69,2,211,7,0,20957
7,52110,59,46,2,189,8,0,-7
6,50611,60,65,3,217,6,0,228
7,101411,82,32,3,195,8,0,7920
2,40210,67,63,2,210,8,0,12947
6,51410,25,74,2,211,7,0,19970
6,31111,81,57,3,215,6,0,15486
3,21811,13,61,3,216,7,0,11908
5,70210,85,81,2,211,6,0,1188
1,60112,49,77,3,221,7,0,10810
5,101212,55,66,3,223,5,0,2722
3,110411,14,59,3,221,7,0,4854
4,21811,28,48,3,128,6,0,1214
6,52711,56,80,3,217,6,0,8269
2,102811,82,65,3,217,7,0,21665
3,62212,20,82,3,225,6,0,2246
3,51112,12,75,3,225,6,0,2503
7,102910,27,34,2,190,9,0,686
4,62411,3,81,3,129,5,0,11145
7,92410,42,47,2,190,9,0,7049
3,51311,72,79,3,219,7,0,18640
6,91611,5,84,3,217,6,0,27575
3,12712,85,58,3,223,6,0,989
2,41511,20,69,3,214,7,0,4610
6,112610,13,65,2,213,7,1,37893
7,100711,35,40,3,194,8,0,414
4,70811,26,84,3,129,5,0,18915
2,81012,38,88,3,221,6,0,63261
4,41610,22,56,2,126,7,0,11262
5,100711,8,71,3,217,6,0,14200
7,21210,32,25,2,189,9,1,7367
2,33012,19,66,3,221,7,0,3199
5,11312,55,48,3,220,5,0,2405
3,92812,16,77,3,226,6,0,5148
5,62212,49,80,3,222,5,0,91
5,40910,60,65,2,211,6,0,264
6,60410,6,79,2,212,7,0,11612
7,82010,82,59,2,190,9,0,8977
6,52011,44,72,3,217,6,0,6411
5,11312,33,48,3,220,5,0,979
6,43010,12,68,2,211,7,0,7903
1,52011,19,67,3,215,7,0,1345
2,101212,99,60,3,223,6,0,50
1,112511,3,60,3,218,7,1,9317
6,112610,81,65,2,213,7,1,16650
4,20510,33,43,2,126,8,0,12645
3,101510,31,69,2,215,7,0,514
2,31111,98,52,3,213,8,0,13649
7,80610,67,61,2,190,9,0,3815
3,91611,46,83,3,219,7,0,5484
4,82412,67,75,3,130,4,0,9138
2,120911,71,41,3,218,7,0,4359
6,62510,25,84,2,212,7,0,18961
5,82412,9,79,3,222,5,0,10084
1,51812,7,70,3,221,7,0,19180
3,50611,7,69,3,219,7,0,8611
6,61711,9,87,3,216,6,0,53333
3,33012,41,69,3,224,6,0,445
6,40111,27,62,3,216,6,0,1542
1,122410,20,52,2,211,7,0,3724
7,20312,12,22,3,196,8,0,3421
3,40210,74,65,2,214,7,0,2516
2,52011,26,67,3,215,7,0,7384
1,82010,95,86,2,211,7,0,124601
5,81211,80,90,3,216,6,0,1
2,22412,82,54,3,220,7,0,21569
3,72310,85,83,2,214,7,0,1040
6,122410,26,55,2,212,7,0,18695
1,81211,46,90,3,215,7,0,17231
2,102811,87,65,3,217,7,0,19531
3,61011,71,84,3,218,7,0,660
1,81911,29,89,3,215,7,0,4158
4,50710,72,56,2,126,7,0,75641
3,100512,8,72,3,226,6,0,8983
4,70210,93,73,2,126,7,0,61488
1,12712,12,54,3,220,7,0,8229
2,42211,2,69,3,215,7,0,64738
5,52011,59,71,3,216,6,0,7
5,30212,97,60,3,221,5,0,799
3,10711,9,53,2,214,7,0,10112
1,82710,37,85,2,211,7,0,2805
1,122311,27,47,3,219,7,0,5131
1,31811,44,62,3,214,7,0,3327
5,40910,45,65,2,211,6,0,9
3,101212,52,70,3,226,6,0,1194
2,101510,52,65,2,211,8,0,4207
2,112511,12,56,3,218,7,1,6757
4,22412,24,41,3,130,4,0,11526
4,60812,40,78,3,130,4,0,80863
3,91611,11,83,3,219,7,0,5701
6,61711,21,87,3,216,6,0,9768
3,61711,14,86,3,218,7,0,4192
5,31612,22,63,3,221,5,0,2803
1,93011,82,79,3,216,7,0,18244
4,70811,92,84,3,129,5,0,157806
5,121611,71,54,3,219,6,0,230
1,42012,44,66,3,221,7,0,3906
1,80511,5,91,3,215,7,0,21183
1,120211,55,48,3,218,7,0,15958
3,62411,5,84,3,218,7,0,8454
1,21012,30,48,3,220,7,1,4257
5,30212,25,60,3,221,5,0,3408
1,81211,9,90,3,215,7,0,18708
6,72911,6,90,3,217,6,0,6066
3,31612,1,64,3,224,6,0,7613
3,60812,60,81,3,225,6,0,153
3,40910,16,68,2,213,7,0,17275
7,123011,38,15,3,196,8,1,30842
6,21210,16,40,2,212,7,1,11118
2,31210,2,57,2,211,8,0,66622
1,111910,60,51,2,211,7,0,844
5,41511,25,72,3,215,6,0,2912
4,61711,48,83,3,129,5,0,1483
6,52711,30,80,3,217,6,0,5679
7,101411,98,32,3,195,8,0,163
5,12111,16,45,3,212,6,0,2321
6,123011,33,46,3,221,6,1,5777
7,120211,67,20,3,195,8,0,3927
6,120911,87,43,3,220,6,0,44149
2,51812,87,71,3,221,6,0,25695
3,71610,36,84,2,214,7,0,914
3,72911,6,88,3,218,7,0,1410
1,120211,98,48,3,218,7,0,11509
4,20411,54,34,3,127,6,0,92
2,121611,6,50,3,218,7,0,10377
1,70811,44,85,3,215,7,0,3590
2,111111,98,59,3,217,7,0,13378
3,91412,49,78,3,226,6,0,20
2,71312,3,80,3,221,6,0,20595
7,70111,87,58,3,193,8,0,9510
6,82710,46,85,2,213,6,0,25242
6,21012,78,48,3,221,6,1,7
7,52711,85,37,3,192,8,0,2162
4,60112,91,77,3,130,4,0,67102
4,111910,38,48,2,126,7,0,72732
6,71610,90,83,2,212,6,0,52527
6,32610,14,53,2,212,7,0,21586
5,31111,44,55,3,214,6,0,920
5,111210,16,62,2,212,6,0,2456
7,72911,36,56,3,193,8,0,1469
6,40111,52,62,3,216,6,0,5798
4,90911,6,73,3,129,5,1,5843
6,70210,19,80,2,212,6,0,5367
4,41312,35,68,3,131,4,0,4255
7,31210,79,27,2,189,9,0,5566
7,31811,31,27,3,192,8,0,3220
3,81012,41,85,3,225,6,0,244
7,40210,4,38,2,189,8,0,13101
6,62912,26,87,3,223,5,0,7055
6,73010,97,81,2,212,6,0,20884
4,60410,40,70,2,126,7,0,72193
6,121611,8,53,3,220,6,0,52324
7,51410,67,41,2,189,8,0,3113
7,52110,12,46,2,189,8,0,6174
2,102111,17,64,3,217,7,0,11660
1,90911,8,76,3,215,7,1,34246
5,52011,33,71,3,216,6,0,1539
6,40612,22,71,3,223,5,0,19244
4,60410,29,70,2,126,7,0,7484
6,70811,52,88,3,216,6,0,3459
5,43010,59,67,2,210,6,0,57
2,21210,72,38,2,210,8,1,109918
5,93011,22,81,3,217,6,0,2314
7,122410,83,26,2,191,9,0,897
6,41610,71,65,2,211,7,0,4209
4,92311,55,69,3,129,5,0,16982
6,41610,16,65,2,211,7,0,51873
5,102910,74,70,2,212,6,0,3294
3,33012,79,69,3,224,6,0,8188
3,60311,44,84,3,218,7,0,2017
3,10711,45,53,2,214,7,0,4
3,52711,82,84,3,218,7,0,5340
2,21111,17,33,3,212,8,1,14889
7,61711,28,48,3,192,8,0,136
4,21111,6,33,3,127,6,1,6584
6,122311,40,49,3,220,6,0,78697
4,10612,30,38,3,130,4,0,6063
7,91611,45,43,3,194,8,0,11
7,11312,42,7,3,196,8,0,4383
7,111811,71,29,3,195,8,0,1583
5,70612,90,82,3,222,5,0,3159
7,71610,22,62,2,189,9,0,7795
1,22610,38,46,2,211,8,0,92755
6,111910,71,52,2,213,7,0,5357
1,41312,27,69,3,221,7,0,983
5,52110,5,75,2,211,6,0,4343
1,81211,93,90,3,215,7,0,77994
2,43010,28,66,2,210,8,0,920
3,52011,9,75,3,219,7,0,6185
4,80610,12,76,2,126,7,0,9710
2,70210,46,82,2,210,8,0,29468
5,71511,22,88,3,215,6,0,1574
2,30212,20,58,3,220,7,0,7512
6,52011,40,72,3,217,6,0,59798
1,123110,48,48,2,211,7,1,434
4,52711,33,73,3,129,5,0,10649
7,102210,10,36,2,190,9,0,20432
5,71511,5,88,3,215,6,0,4058
1,91412,72,74,3,222,6,0,40346
5,21712,22,48,3,221,5,0,3185
4,61011,23,80,3,129,5,0,47496
3,81310,42,86,2,214,7,0,3631
5,52810,35,79,2,211,6,0,1361
2,83112,79,82,3,221,6,0,28546
5,111811,8,64,3,218,6,0,12852
2,72911,42,90,3,215,7,0,9136
1,90310,44,81,2,211,7,0,5213
5,21012,87,48,3,220,5,1,14751
7,82010,14,59,2,190,9,0,11322
1,61512,44,79,3,221,7,0,4718
4,70811,19,84,3,129,5,0,2397
5,70111,95,85,3,215,6,0,21763
2,122410,8,49,2,211,8,0,74917
7,32511,95,25,3,192,8,0,38930
7,70910,41,58,2,189,9,0,806
7,80610,8,61,2,190,9,0,14145
2,101411,7,71,3,217,7,0,27161
6,102111,59,68,3,219,6,0,170
5,40910,90,65,2,211,6,0,2628
5,61711,92,86,3,215,6,0,7171
1,32610,24,51,2,211,8,0,4618
3,102111,79,69,3,220,7,0,6671
7,10612,16,18,3,196,8,0,3150
4,91412,48,68,3,130,4,0,2788
7,43010,74,38,2,189,8,0,8860
5,121010,42,48,2,212,6,0,2819
7,61711,24,48,3,192,8,0,1837
2,30510,90,47,2,211,8,0,97319
3,22610,52,52,2,214,7,0,680
3,100711,74,75,3,220,7,0,3121
7,120310,28,21,2,190,9,0,157
1,21210,92,38,2,211,8,1,143081
7,21012,11,18,3,196,8,1,15810
6,20510,94,40,2,212,7,0,40100
5,120911,56,44,3,219,6,0,856
6,20312,37,57,3,221,6,0,4114
7,20312,32,22,3,196,8,0,4335
6,120310,2,52,2,213,7,0,49678
3,81012,59,85,3,225,6,0,23
6,102910,1,70,2,213,7,0,37823
6,61110,46,81,2,212,7,0,36412
2,21012,41,46,3,219,7,1,2257
3,51812,52,72,3,225,6,0,1452
5,50710,13,71,2,210,6,0,12892
5,102111,4,66,3,218,6,0,9063
2,51410,67,73,2,210,8,0,26485
6,62912,22,87,3,223,5,0,17496
7,71610,97,62,2,189,9,0,2664
7,31210,8,27,2,189,9,0,13743
6,71312,56,80,3,223,5,0,2309
4,71610,51,78,2,126,7,0,2
4,11312,56,34,3,130,4,0,341
1,90712,71,83,3,222,6,1,2097
2,62411,2,85,3,214,7,0,61507
5,31612,1,63,3,221,5,0,10612
7,40910,22,33,2,189,8,0,3299
4,60112,85,77,3,130,4,0,2303
2,20510,87,40,2,210,8,0,36792
5,101510,9,68,2,212,6,0,7480
4,10612,13,38,3,130,4,0,75347
3,122410,30,57,2,214,7,0,612
5,71610,29,83,2,211,6,0,1261
7,11312,44,7,3,196,8,0,3598
4,40811,6,62,3,128,5,0,3711
1,40612,48,70,3,221,7,0,1593
6,12111,8,46,3,213,6,0,45517
4,82412,35,75,3,130,4,0,3626
7,21111,52,10,3,191,8,1,1100
4,100810,71,67,2,126,7,0,5156
6,70612,3,82,3,223,5,0,14626
4,52011,17,70,3,129,5,0,14725
7,111210,40,22,2,191,9,0,26366
4,111910,95,48,2,126,7,0,129972
7,81911,97,56,3,194,8,0,5420
1,62912,55,84,3,221,7,0,9377
4,21910,37,36,2,126,8,0,5006
1,10711,48,48,2,211,7,0,117
4,93011,24,72,3,129,5,0,8106
4,42310,22,56,2,126,7,0,11399
2,21012,96,46,3,219,7,1,32664
7,12012,35,27,3,196,8,0,184
4,21712,81,34,3,130,4,0,33851
5,73010,9,82,2,211,6,0,4857
2,52711,36,76,3,215,7,0,5859
5,80312,55,86,3,222,5,0,3474
6,71312,24,80,3,223,5,0,5232
4,21012,98,33,3,130,4,1,20731
1,120310,87,49,2,211,7,0,52678
4,70612,49,80,3,130,4,0,5956
6,42712,20,71,3,223,5,0,9036
1,90712,93,83,3,222,6,1,90651
5,61512,52,81,3,222,5,0,496
4,40811,46,62,3,128,5,0,40065
4,60311,81,78,3,129,5,0,30762
6,50412,19,77,3,223,5,0,3392
4,91412,95,68,3,130,4,0,158167
5,123110,42,49,2,211,6,1,2323
3,60311,60,84,3,218,7,0,167
4,21210,52,28,2,126,8,1,4501
1,31111,49,53,3,214,7,0,12279
1,120310,95,49,2,211,7,0,100834
7,110510,95,49,2,191,9,0,22390
3,62212,2,82,3,225,6,0,19549
4,32312,4,59,3,130,4,0,53921
5,51311,36,77,3,216,6,0,628
2,62411,1,85,3,214,7,0,21426
2,92112,18,71,3,222,6,0,7678
6,52512,90,78,3,223,5,0,52274
6,92812,29,77,3,224,5,0,5746
1,100810,19,63,2,211,7,0,1926
4,90911,48,73,3,129,5,1,3027
2,80312,80,90,3,221,6,0,27257
4,60812,10,78,3,130,4,0,43238
3,92410,41,76,2,214,7,0,1109
3,120211,67,54,3,222,7,0,1628
5,60112,23,79,3,222,5,0,7956
4,61011,56,80,3,129,5,0,7330
7,21811,85,17,3,191,8,0,1699
1,31111,81,53,3,214,7,0,30186
4,72211,5,82,3,129,5,0,35656
1,120911,95,43,3,218,7,0,119053
2,40210,35,63,2,210,8,0,5098
6,71511,81,88,3,216,6,0,15855
5,22412,5,57,3,221,5,0,7220
4,51311,67,70,3,129,5,0,23873
4,72911,16,84,3,129,5,0,24437
6,33012,83,67,3,222,6,0,4337
6,120310,24,52,2,213,7,0,10138
6,61711,90,87,3,216,6,0,55515
5,112610,17,66,2,212,6,1,3504
2,42712,31,67,3,221,6,0,2227
1,12111,14,44,3,211,7,0,12889
3,42012,28,72,3,225,6,0,153
2,122311,95,46,3,219,7,0,159455
4,110411,19,49,3,129,5,0,3106
6,110510,7,59,2,213,7,0,21305
3,30212,25,61,3,224,6,0,6843
2,70210,97,82,2,210,8,0,43393
5,41312,8,70,3,222,5,0,14492
3,101510,5,69,2,215,7,0,6027
4,61512,71,80,3,130,4,0,8929
3,70811,96,85,3,218,7,0,3913
4,72211,7,82,3,129,5,0,38137
7,21111,74,10,3,191,8,1,7877
4,21712,11,34,3,130,4,0,28513
6,31612,83,62,3,222,6,0,5076
6,42911,81,75,3,217,6,0,15197
6,71610,21,83,2,212,6,0,13983
7,22610,32,24,2,189,9,0,7286
3,52110,21,75,2,213,7,0,955
7,122410,55,26,2,191,9,0,32922
2,21712,32,43,3,220,7,0,26006
6,100512,46,70,3,224,5,0,21656
3,111210,41,62,2,215,7,0,891
1,71312,3,77,3,221,6,0,13126
4,21712,59,34,3,130,4,0,593
5,123011,17,45,3,220,6,1,4030
4,21712,90,34,3,130,4,0,100640
1,111811,27,62,3,218,7,0,1707
2,82010,52,88,2,211,8,0,3850
2,12712,18,50,3,219,7,0,2345
4,12012,91,42,3,130,4,0,75976
2,90712,23,87,3,222,6,1,21132
4,92311,81,69,3,129,5,0,31498
3,83112,35,85,3,225,6,0,909
6,112511,38,62,3,220,6,1,55653
3,22412,97,60,3,224,6,0,411
3,52011,56,75,3,219,7,0,2933
7,102111,36,37,3,195,8,0,1921
4,51812,4,68,3,131,4,0,60832
2,22412,13,54,3,220,7,0,45058
7,71610,81,62,2,189,9,0,5776
1,93011,67,79,3,216,7,0,5747
1,92112,67,69,3,222,6,0,6504
5,62212,42,80,3,222,5,0,3367
4,121010,55,42,2,126,7,0,32723
6,120310,95,52,2,213,7,0,71373
2,52512,92,78,3,221,6,0,157451
3,62912,6,86,3,225,6,0,2566
6,82611,31,90,3,217,6,0,7965
1,90911,27,76,3,215,7,1,786
5,33012,7,67,3,221,5,0,4244
6,102210,10,70,2,213,7,0,45514
6,71312,85,80,3,223,5,0,2314
3,10711,34,53,2,214,7,0,3280
4,82412,42,75,3,130,4,0,10225
6,72012,91,81,3,223,5,0,47817
2,52711,31,76,3,215,7,0,2654
4,102111,85,64,3,129,5,0,1688
6,70612,96,82,3,223,5,0,50336
6,112610,71,65,2,213,7,1,12805
6,72712,58,85,3,223,5,0,2025
6,21712,85,49,3,222,6,0,2373
4,80312,55,83,3,130,4,0,12740
7,101411,32,32,3,195,8,0,3639
5,121611,91,54,3,219,6,0,1440
7,42211,6,31,3,192,8,0,3710
4,80511,42,86,3,129,5,0,9286
7,100711,1,40,3,194,8,0,9199
1,73010,21,81,2,211,7,0,7305
5,22511,27,63,3,214,6,0,432
4,50611,67,63,3,129,5,0,26242
6,42310,24,64,2,211,7,0,6048
6,21012,9,48,3,221,6,1,29831
2,52110,29,74,2,210,8,0,7157
6,21712,56,49,3,222,6,0,6238
7,102111,81,37,3,195,8,0,5838
6,20312,74,57,3,221,6,0,22358
6,91611,18,84,3,217,6,0,3142
6,102111,95,68,3,219,6,0,78442
5,21111,11,38,3,213,6,1,5847
2,101510,95,65,2,211,8,0,141840
6,72310,7,83,2,212,6,0,29716
7,111210,13,22,2,191,9,0,13951
4,91710,95,64,2,126,7,0,141928
3,21712,52,52,3,223,6,0,926
2,81012,18,88,3,221,6,0,20
5,121010,14,48,2,212,6,0,5240
7,22511,8,17,3,191,8,0,13177
6,51311,1,76,3,217,6,0,15620
6,41511,46,73,3,216,6,0,25592
2,22511,27,60,3,213,8,0,2058
6,80312,96,87,3,223,5,0,33828
3,51311,5,79,3,219,7,0,6504
1,60311,55,83,3,215,7,0,10291
7,50710,81,40,2,189,8,0,4049
5,122311,91,50,3,219,6,0,1401
4,50412,54,80,3,131,4,0,22
4,60812,37,78,3,130,4,0,3999
3,11411,8,44,2,214,7,0,8493
2,60812,3,78,3,221,6,0,11372
5,21712,31,48,3,221,5,0,838
3,42712,31,73,3,225,6,0,536
4,62912,25,84,3,130,4,0,16947
3,72211,36,86,3,218,7,0,730
5,80312,74,86,3,222,5,0,3017
1,110510,23,58,2,211,7,0,26416
7,61011,90,53,3,192,8,0,12848
6,42012,26,68,3,223,5,0,8695
7,32511,30,25,3,192,8,0,959
1,31210,67,57,2,211,8,0,6759
3,62411,21,84,3,218,7,0,1044
7,72211,20,56,3,193,8,0,4333
2,22511,40,60,3,213,8,0,78970
6,31111,40,57,3,215,6,0,68562
4,41511,40,62,3,128,5,0,74405
4,12811,98,40,3,127,6,0,11918
3,70910,56,81,2,214,7,0,364
4,81012,2,83,3,130,4,0,96870
1,120911,85,43,3,218,7,0,6436
4,100110,31,63,2,126,7,0,2302
6,70111,24,87,3,216,6,0,5136
1,52810,36,80,2,210,7,0,3995
6,112511,42,62,3,220,6,1,9302
7,100110,19,49,2,190,9,0,18
4,122311,82,35,3,129,5,0,114217
2,122311,82,46,3,219,7,0,106512
7,123110,81,13,2,191,9,1,8028
2,42712,41,67,3,221,6,0,2476
6,100711,98,74,3,218,6,0,9078
2,100810,16,63,2,211,8,0,13689
4,91010,47,73,2,126,7,1,898
5,102111,9,66,3,218,6,0,8494
1,50710,35,72,2,210,7,0,3639
4,80312,52,83,3,130,4,0,3187
2,121710,58,47,2,211,8,0,17065
4,51112,41,67,3,131,4,0,488
6,71610,94,83,2,212,6,0,42742
2,21111,9,33,3,212,8,1,21782
5,111111,74,60,3,218,6,0,3185
4,111910,48,48,2,126,7,0,3438
3,112610,51,68,2,215,7,1,0
1,101510,42,67,2,211,7,0,8548
2,21811,80,57,3,212,8,0,26975
7,72310,85,64,2,189,9,0,2124
5,50710,2,71,2,210,6,0,12938
6,101212,13,65,3,225,5,0,36126
2,121710,9,47,2,211,8,0,41466
5,70612,38,82,3,222,5,0,63947
6,60112,55,80,3,223,5,0,10800
3,101212,49,70,3,226,6,0,8
3,71511,13,87,3,218,7,0,11497
1,102111,8,63,3,217,7,0,32631
1,11411,37,35,2,211,7,0,1981
1,72712,80,82,3,221,6,0,18050
4,31210,54,49,2,126,8,0,317
1,40210,51,62,2,210,7,0,0
6,12712,30,53,3,221,6,0,3646
7,51311,83,36,3,192,8,0,589
2,82710,11,87,2,211,8,0,20351
2,91412,7,75,3,222,6,0,33616
2,101510,83,65,2,211,8,0,5624
7,41511,28,27,3,192,8,0,219
2,123110,83,47,2,211,8,1,5142
4,21712,10,34,3,130,4,0,44289
7,21811,72,17,3,191,8,0,60907
1,111111,35,59,3,218,7,0,2576
4,91710,4,64,2,126,7,0,54102
4,52110,8,67,2,126,7,0,62826
7,70811,23,59,3,193,8,0,14401
2,72310,56,87,2,210,8,0,1482
4,31910,33,55,2,126,8,0,12889
5,101510,92,68,2,212,6,0,7136
4,31612,26,59,3,130,4,0,21312
4,102111,23,64,3,129,5,0,56550
7,31811,41,27,3,192,8,0,4190
4,42012,92,68,3,131,4,0,169275
4,70811,58,84,3,129,5,0,5665
1,102811,7,66,3,217,7,0,26827
4,41610,80,56,2,126,7,0,16509
1,30912,93,58,3,221,7,0,79749
2,60812,97,78,3,221,6,0,45755
3,123110,32,53,2,214,7,1,3744
1,61011,18,83,3,215,7,0,1
3,121010,29,51,2,214,7,0,2264
2,10711,9,44,2,211,8,0,18276
6,90911,55,80,3,217,6,1,13522
1,60311,25,83,3,215,7,0,10967
5,111111,91,60,3,218,6,0,1362
6,91412,9,76,3,224,5,0,52087
7,80610,25,61,2,190,9,0,5471
7,51410,98,41,2,189,8,0,294
5,42012,26,67,3,222,5,0,1277
4,61711,36,83,3,129,5,0,7417
7,91010,41,48,2,190,9,1,2172
4,100810,6,67,2,126,7,0,7912
6,52711,28,80,3,217,6,0,479
6,111210,97,62,2,213,7,0,20211
2,42012,79,65,3,221,6,0,30936
6,40111,4,62,3,216,6,0,31504
2,40210,10,63,2,210,8,0,43902
4,72012,74,79,3,130,4,0,22732
4,20312,98,41,3,130,4,0,15404
